Marco_Margarita_Right_1.c3d  



Time(s):	C_L_bicipite(μV):
0.292	3.52478
0.2925	8.45947
0.293	6.94885
0.2935	9.76868
0.294	6.74744
0.2945	6.94885
0.295	5.74036
0.2955	8.56018
0.296	4.63257
0.2965	-3.62549
0.297	1.71204
0.2975	7.15027
0.298	9.36584
0.2985	11.48071
0.299	6.44531
0.2995	4.02832
0.3	2.11487
0.3005	7.75452
0.301	7.5531
0.3015	7.15027
0.302	5.0354
0.3025	8.7616
0.303	6.04248
0.3035	13.797
0.304	19.83948
0.3045	24.47205
0.305	21.24939
0.3055	18.32886
0.306	17.82532
0.3065	15.60974
0.307	15.1062
0.3075	21.45081
0.308	22.96143
0.3085	15.20691
0.309	9.97009
0.3095	10.17151
0.31	11.38
0.3105	10.27222
0.311	3.92761
0.3115	-2.81982
0.312	-4.43115
0.3125	-3.12195
0.313	-4.22974
0.3135	-6.94885
0.314	-6.3446
0.3145	-3.7262
0.315	-6.2439
0.3155	-3.8269
0.316	-0.80566
0.3165	-5.63965
0.317	0.10071
0.3175	-0.60425
0.318	-5.94177
0.3185	3.52478
0.319	8.45947
0.3195	12.78992
0.32	9.97009
0.3205	13.49487
0.321	18.22815
0.3215	17.32178
0.322	19.83948
0.3225	22.15576
0.323	20.1416
0.3235	19.63806
0.324	15.40833
0.3245	17.12036
0.325	10.97717
0.3255	12.99133
0.326	13.39417
0.3265	11.17859
0.327	10.77576
0.3275	8.45947
0.328	5.63965
0.3285	15.20691
0.329	29.30603
0.3295	35.75134
0.33	41.99524
0.3305	39.98108
0.331	35.65063
0.3315	20.24231
0.332	15.20691
0.3325	12.18567
0.333	8.66089
0.3335	-1.51062
0.334	-7.95593
0.3345	-14.90479
0.335	-17.6239
0.3355	-23.36426
0.336	-23.06213
0.3365	-20.94727
0.337	-19.43665
0.3375	-16.71753
0.338	-16.41541
0.3385	-7.5531
0.339	-7.65381
0.3395	0
0.34	-2.71912
0.3405	3.42407
0.341	4.73328
0.3415	5.84106
0.342	8.05664
0.3425	8.15735
0.343	14.40125
0.3435	15.81116
0.344	13.49487
0.3445	10.17151
0.345	7.45239
0.3455	12.08496
0.346	7.25098
0.3465	7.5531
0.347	8.15735
0.3475	3.62549
0.348	7.5531
0.3485	13.69629
0.349	11.38
0.3495	5.94177
0.35	10.37292
0.3505	17.22107
0.351	26.68762
0.3515	36.55701
0.352	32.32727
0.3525	26.58691
0.353	28.60107
0.3535	27.6947
0.354	27.09045
0.3545	32.93152
0.355	29.70886
0.3555	26.28479
0.356	18.42957
0.3565	15.71045
0.357	9.36584
0.3575	7.85522
0.358	3.12195
0.3585	-2.01416
0.359	-0.30212
0.3595	-5.84106
0.36	-10.37292
0.3605	-14.60266
0.361	-9.56726
0.3615	-12.48779
0.362	-3.52478
0.3625	-0.70496
0.363	2.61841
0.3635	-0.10071
0.364	-1.00708
0.3645	-1.51062
0.365	2.61841
0.3655	0.40283
0.366	-2.21558
0.3665	1.81274
0.367	2.5177
0.3675	7.65381
0.368	3.8269
0.3685	4.73328
0.369	5.94177
0.3695	14.40125
0.37	44.21082
0.3705	60.3241
0.371	63.44604
0.3715	75.53101
0.372	87.91809
0.3725	91.64429
0.373	88.92517
0.3735	71.80481
0.374	56.5979
0.3745	39.98108
0.375	30.51453
0.3755	30.81665
0.376	37.66479
0.3765	28.70178
0.377	16.71753
0.3775	-8.66089
0.378	-18.53027
0.3785	-39.67896
0.379	-52.67029
0.3795	-59.92126
0.38	-69.38782
0.3805	-82.58057
0.381	-83.38623
0.3815	-88.92517
0.382	-92.44995
0.3825	-91.54358
0.383	-94.66553
0.3835	-88.11951
0.384	-76.7395
0.3845	-72.9126
0.385	-67.57507
0.3855	-50.85754
0.386	-38.974
0.3865	-29.30603
0.387	-10.97717
0.3875	-1.91345
0.388	0.20142
0.3885	0.50354
0.389	4.02832
0.3895	0.40283
0.39	1.2085
0.3905	9.56726
0.391	27.6947
0.3915	29.70886
0.392	34.74426
0.3925	30.81665
0.393	32.12585
0.3935	31.32019
0.394	26.3855
0.3945	21.3501
0.395	21.65222
0.3955	20.34302
0.396	23.8678
0.3965	21.95435
0.397	22.05505
0.3975	20.64514
0.398	19.43665
0.3985	22.15576
0.399	14.70337
0.3995	14.90479
0.4	13.99841
0.4005	10.17151
0.401	14.60266
0.4015	9.46655
0.402	13.99841
0.4025	14.60266
0.403	11.2793
0.4035	9.36584
0.404	11.88354
0.4045	10.27222
0.405	8.56018
0.4055	12.89062
0.406	10.0708
0.4065	9.97009
0.407	8.96301
0.4075	5.74036
0.408	6.94885
0.4085	3.62549
0.409	3.7262
0.4095	-4.83398
0.41	-6.64673
0.4105	-4.22974
0.411	-4.83398
0.4115	-5.13611
0.412	-0.40283
0.4125	10.57434
0.413	12.48779
0.4135	17.92603
0.414	20.74585
0.4145	42.8009
0.415	68.98499
0.4155	80.36499
0.416	81.67419
0.4165	82.9834
0.417	81.57349
0.4175	68.17932
0.418	49.95117
0.4185	32.22656
0.419	13.69629
0.4195	-5.43823
0.42	-26.68762
0.4205	-46.62781
0.421	-53.87878
0.4215	-43.40515
0.422	-20.84656
0.4225	-12.28638
0.423	-5.13611
0.4235	-10.47363
0.424	-14.90479
0.4245	-13.19275
0.425	-19.63806
0.4255	-19.43665
0.426	-32.02515
0.4265	-31.72302
0.427	-26.98975
0.4275	-25.57983
0.428	-21.14868
0.4285	-31.92444
0.429	-32.93152
0.4295	-18.02673
0.43	-10.27222
0.4305	3.92761
0.431	-0.10071
0.4315	8.56018
0.432	11.58142
0.4325	9.66797
0.433	12.89062
0.4335	7.35168
0.434	2.5177
0.4345	3.7262
0.435	1.2085
0.4355	2.21558
0.436	-5.84106
0.4365	-10.37292
0.437	6.64673
0.4375	22.25647
0.438	23.26355
0.4385	20.64514
0.439	28.29895
0.4395	21.45081
0.44	24.37134
0.4405	19.94019
0.441	13.09204
0.4415	4.63257
0.442	1.51062
0.4425	-1.71204
0.443	-0.50354
0.4435	1.40991
0.444	1.3092
0.4445	6.44531
0.445	1.61133
0.4455	0.50354
0.446	1.61133
0.4465	7.75452
0.447	8.66089
0.4475	4.22974
0.448	10.47363
0.4485	10.97717
0.449	7.75452
0.4495	7.45239
0.45	11.07788
0.4505	3.52478
0.451	3.7262
0.4515	3.32336
0.452	8.25806
0.4525	5.63965
0.453	1.51062
0.4535	2.31628
0.454	4.22974
0.4545	-2.11487
0.455	-1.00708
0.4555	0.80566
0.456	0.60425
0.4565	-1.3092
0.457	5.13611
0.4575	18.8324
0.458	50.354
0.4585	68.68286
0.459	79.76074
0.4595	105.44128
0.46	137.76855
0.4605	172.71423
0.461	204.43726
0.4615	207.25708
0.462	201.01318
0.4625	170.70007
0.463	134.5459
0.4635	87.61597
0.464	45.11719
0.4645	3.32336
0.465	-48.64197
0.4655	-87.71667
0.466	-128.302
0.4665	-155.69458
0.467	-173.92273
0.4675	-187.01477
0.468	-188.72681
0.4685	-180.06592
0.469	-164.95972
0.4695	-153.98254
0.47	-135.55298
0.4705	-112.59155
0.471	-90.93933
0.4715	-77.64587
0.472	-54.38232
0.4725	-40.78674
0.473	-27.79541
0.4735	-16.3147
0.474	0.90637
0.4745	16.41541
0.475	25.177
0.4755	31.92444
0.476	41.29028
0.4765	43.80798
0.477	37.96692
0.4775	22.76001
0.478	22.45789
0.4785	21.24939
0.479	22.55859
0.4795	20.74585
0.48	24.97559
0.4805	22.15576
0.481	19.23523
0.4815	24.06921
0.482	22.35718
0.4825	18.53027
0.483	20.94727
0.4835	21.95435
0.484	16.21399
0.4845	17.52319
0.485	19.33594
0.4855	15.81116
0.486	16.61682
0.4865	9.26514
0.487	11.58142
0.4875	13.39417
0.488	17.01965
0.4885	15.40833
0.489	10.27222
0.4895	15.00549
0.49	17.82532
0.4905	21.04797
0.491	21.04797
0.4915	14.19983
0.492	16.01257
0.4925	20.44373
0.493	15.71045
0.4935	22.6593
0.494	18.93311
0.4945	11.68213
0.495	17.01965
0.4955	12.08496
0.496	17.52319
0.4965	10.27222
0.497	17.12036
0.4975	16.81824
0.498	10.17151
0.4985	13.797
0.499	13.69629
0.4995	14.19983
0.5	12.5885
0.5005	10.87646
0.501	6.14319
0.5015	12.89062
0.502	16.3147
0.5025	34.64355
0.503	42.8009
0.5035	48.13843
0.504	43.70728
0.5045	41.4917
0.505	38.67188
0.5055	26.3855
0.506	20.64514
0.5065	9.16443
0.507	-6.64673
0.5075	-11.17859
0.508	-19.43665
0.5085	-27.39258
0.509	-35.44922
0.5095	-36.4563
0.51	-39.27612
0.5105	-36.85913
0.511	-33.43506
